YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,EV,2509,GGG,DFW,1120,1143,23,50,48,30,140,1231,21,0,0,null,0,0,5,16,0
2015,1,1,4,UA,1718,DEN,LAX,1125,1158,33,153,141,112,862,1319,21,0,0,null,0,0,21,0,0
2015,1,1,4,DL,101,LAX,ATL,1130,1154,24,250,242,217,1947,1856,16,0,0,null,0,0,16,0,0
2015,1,1,4,AA,131,LAX,MCO,1150,1201,11,275,294,258,2218,1955,30,0,0,null,19,0,11,0,0
2015,1,1,4,AA,1636,DFW,RSW,1150,1201,11,145,170,124,1017,1551,36,0,0,null,25,0,11,0,0
2015,1,1,4,WN,1107,LAX,PHX,1205,1226,21,75,77,58,370,1443,23,0,0,null,2,0,14,7,0
2015,1,1,4,WN,664,SLC,DEN,1205,1302,57,85,92,67,391,1434,64,0,0,null,7,0,49,8,0
2015,1,1,4,WN,126,SAN,OAK,1220,1300,40,90,85,68,446,1425,35,0,0,null,0,0,10,25,0
2015,1,1,4,OO,6275,COS,LAX,1221,1300,39,153,166,117,833,1446,52,0,0,null,13,0,4,35,0
2015,1,1,4,DL,1437,DTW,BWI,1230,1439,129,97,81,61,409,1600,113,0,0,null,0,0,113,0,0
2015,1,1,4,OO,4651,DTW,DSM,1239,1250,11,116,126,103,534,1356,21,0,0,null,10,0,11,0,0
2015,1,1,4,NK,917,LGA,DFW,1245,1416,91,253,250,230,1389,1726,88,0,0,null,88,0,0,0,0
2015,1,1,4,WN,677,PHX,AUS,1250,1312,22,130,130,113,872,1622,22,0,0,null,0,0,0,22,0
2015,1,1,4,WN,820,BUF,TPA,1320,1415,55,170,161,149,1053,1656,46,0,0,null,0,0,0,19,27
2015,1,1,4,OO,4728,MFR,SLC,1323,1410,47,111,100,77,575,1650,36,0,0,null,0,0,0,36,0
2015,1,1,4,OO,5183,FAR,DEN,1328,1535,127,127,116,84,627,1631,116,0,0,null,0,0,0,116,0
2015,1,1,4,OO,4973,ORD,GRR,1330,1333,3,50,65,30,137,1538,18,0,0,null,15,0,3,0,0
2015,1,1,4,OO,6298,MOT,DEN,1333,1352,19,122,126,92,604,1458,23,0,0,null,4,0,0,19,0
2015,1,1,4,OO,5211,IDA,DEN,1338,1416,38,91,86,67,458,1542,33,0,0,null,0,0,18,15,0
2015,1,1,4,WN,2123,DEN,AUS,1345,1344,-1,125,144,118,775,1708,18,0,0,null,18,0,0,0,0
2015,1,1,4,DL,1586,ATL,LGA,1345,1416,31,135,123,99,762,1619,19,0,0,null,0,0,7,12,0
2015,1,1,4,WN,1579,LAS,SLC,1350,1407,17,80,78,65,368,1625,15,0,0,null,0,0,10,5,0
2015,1,1,4,F9,1245,DFW,DEN,1400,1507,67,120,111,94,641,1558,58,0,0,null,43,0,10,5,0
2015,1,1,4,DL,1178,ATL,RIC,1402,1424,22,90,85,63,481,1549,17,0,0,null,0,0,7,10,0
2015,1,1,4,EV,2508,DFW,LFT,1405,1422,17,75,81,54,351,1543,23,0,0,null,6,0,17,0,0
2015,1,1,4,F9,777,DEN,LAS,1409,1448,39,111,95,80,628,1523,23,0,0,null,0,0,0,23,0
2015,1,1,4,WN,675,LAX,HOU,1420,1430,10,185,197,169,1390,1947,22,0,0,null,12,0,10,0,0
2015,1,1,4,UA,1428,CLE,IAH,1429,1444,15,199,215,193,1091,1719,31,0,0,null,16,0,15,0,0
2015,1,1,4,AA,1071,HOU,DFW,1435,1437,2,70,89,43,247,1606,21,0,0,null,21,0,0,0,0
2015,1,1,4,F9,1329,MCO,IAD,1440,1457,17,125,133,103,758,1710,25,0,0,null,12,0,13,0,0
2015,1,1,4,UA,1030,DEN,IAH,1445,1458,13,134,141,111,862,1819,20,0,0,null,7,0,13,0,0
2015,1,1,4,AA,1213,DFW,SFO,1445,1514,29,220,211,188,1464,1645,20,0,0,null,0,0,20,0,0
2015,1,1,4,MQ,3059,DFW,CRP,1455,1517,22,73,95,70,354,1652,44,0,0,null,22,0,0,0,22
2015,1,1,4,EV,5668,LIT,IAH,1458,1454,-4,91,110,81,374,1644,15,0,0,null,15,0,0,0,0
2015,1,1,4,UA,1695,EWR,IAH,1509,1523,14,238,249,213,1400,1832,25,0,0,null,11,0,14,0,0
2015,1,1,4,EV,4203,JAX,IAH,1513,1508,-5,150,180,152,817,1708,25,0,0,null,25,0,0,0,0
2015,1,1,4,EV,4489,CVG,IAH,1513,1514,1,158,194,165,871,1728,37,0,0,null,36,0,1,0,0
2015,1,1,4,MQ,2767,ROC,ORD,1520,1544,24,125,122,104,528,1646,21,0,0,null,0,0,4,17,0
2015,1,1,4,F9,662,SFO,DEN,1525,1541,16,145,171,144,967,1932,42,0,0,null,26,0,16,0,0
2015,1,1,4,WN,390,ONT,SMF,1530,1559,29,75,72,62,390,1711,26,0,0,null,0,0,3,23,0
2015,1,1,4,WN,3236,SFO,SAN,1535,1556,21,90,87,67,447,1723,18,0,0,null,0,0,4,14,0
2015,1,1,4,B6,951,BOS,MCO,1553,1706,73,206,192,166,1121,2018,59,0,0,null,0,0,55,4,0
2015,1,1,4,WN,613,ATL,HOU,1555,1625,30,145,133,113,696,1738,18,0,0,null,0,0,5,13,0
2015,1,1,4,AA,1365,AUS,DFW,1555,1558,3,60,75,37,190,1713,18,0,0,null,18,0,0,0,0
2015,1,1,4,WN,1569,MDW,DEN,1600,1607,7,165,174,152,895,1801,16,0,0,null,9,0,4,3,0
2015,1,1,4,AA,2367,DFW,ELP,1605,1655,50,105,109,89,551,1744,54,0,0,null,4,0,50,0,0
2015,1,1,4,UA,1479,LAX,SAT,1609,1748,99,170,162,145,1211,2230,91,0,0,null,0,0,91,0,0
2015,1,1,4,F9,578,SLC,DEN,1610,1602,-8,78,105,85,391,1747,19,0,0,null,19,0,0,0,0
2015,1,1,4,WN,282,DEN,PHX,1620,1635,15,115,122,96,602,1837,22,0,0,null,7,0,10,5,0
2015,1,1,4,AA,373,DFW,SAT,1620,1738,78,65,69,51,247,1847,82,0,0,null,4,0,12,66,0
2015,1,1,4,AA,276,DFW,ATL,1630,1635,5,125,136,99,731,1951,16,0,0,null,16,0,0,0,0
2015,1,1,4,WN,614,PHX,SNA,1650,1741,51,75,72,53,338,1753,48,0,0,null,0,0,0,26,22
2015,1,1,4,WN,2230,MCO,BHM,1705,1723,18,95,96,78,479,1759,19,0,0,null,1,0,10,8,0
2015,1,1,4,MQ,2955,MGM,DFW,1720,1819,59,130,127,108,622,2026,56,0,0,null,0,0,2,54,0
2015,1,1,4,WN,987,DAL,MDW,1725,1759,34,130,113,98,793,1952,17,0,0,null,0,0,17,0,0
2015,1,1,4,EV,4526,ELP,IAH,1728,2139,251,112,96,84,667,15,235,0,0,null,0,0,0,235,0
2015,1,1,4,MQ,3312,BPT,DFW,1730,1753,23,70,87,49,270,1920,40,0,0,null,17,0,0,23,0
2015,1,1,4,UA,1438,DEN,FLL,1740,1900,80,227,235,203,1703,55,88,0,0,null,8,0,18,62,0
2015,1,1,4,AA,1308,DFW,MCO,1740,1817,37,145,155,123,985,2152,47,0,0,null,10,0,25,12,0
2015,1,1,4,AA,1491,DFW,DEN,1740,1804,24,120,156,104,641,1940,60,0,0,null,36,0,20,4,0
2015,1,1,4,UA,1615,IAD,SEA,1741,2047,186,360,340,323,2306,2327,166,0,0,null,0,0,166,0,0
2015,1,1,4,WN,4999,DAL,MCI,1745,1840,55,85,74,59,460,1954,44,0,0,null,0,0,15,29,0
2015,1,1,4,AA,60,DFW,MIA,1754,1955,121,160,151,133,1121,2326,112,0,0,null,0,0,112,0,0
2015,1,1,4,MQ,3071,GSO,DFW,1810,1821,11,190,203,180,999,2044,24,0,0,null,13,0,0,11,0
2015,1,1,4,OO,5501,ICT,LAX,1810,1915,65,210,182,157,1203,2017,37,0,0,null,0,0,0,37,0
2015,1,1,4,WN,183,AUS,PHX,1815,1905,50,155,143,130,872,2028,38,0,0,null,0,0,34,4,0
2015,1,1,4,UA,1268,ORD,PHL,1821,1900,39,124,102,80,678,2142,17,0,0,null,0,0,14,3,0
2015,1,1,4,OO,5227,SFO,SAN,1821,1907,46,92,84,67,447,2031,38,0,0,null,0,0,0,38,0
2015,1,1,4,WN,599,PHX,STL,1830,1917,47,170,154,137,1262,2251,31,0,0,null,0,0,14,17,0
2015,1,1,4,B6,1070,FLL,BOS,1830,1848,18,182,185,163,1237,2153,21,0,0,null,3,0,17,1,0
2015,1,1,4,DL,413,JFK,LAX,1830,1925,55,395,397,360,2475,2302,57,0,0,null,47,0,10,0,0
2015,1,1,4,WN,958,PHL,ATL,1835,1836,1,135,162,113,666,2118,28,0,0,null,28,0,0,0,0
2015,1,1,4,OO,5562,FSD,ORD,1838,1906,28,98,89,66,462,2035,19,0,0,null,0,0,0,19,0
2015,1,1,4,AA,2296,DFW,JAX,1845,2115,150,130,128,108,918,23,148,0,0,null,0,0,20,128,0
2015,1,1,4,AA,2349,ORD,DFW,1845,1845,0,150,176,129,802,2141,26,0,0,null,26,0,0,0,0
2015,1,1,4,WN,1975,FLL,ATL,1850,1940,50,120,103,86,581,2123,33,0,0,null,0,0,5,28,0
2015,1,1,4,UA,1132,DEN,MCO,1900,2000,60,210,234,186,1546,154,84,0,0,null,24,0,0,32,28
2015,1,1,4,UA,1503,IAH,IAD,1900,1941,41,179,158,141,1190,2319,20,0,0,null,0,0,19,1,0
2015,1,1,4,WN,1160,BNA,DEN,1905,2005,60,180,199,179,1014,2224,79,0,0,null,19,0,4,56,0
2015,1,1,4,EV,4210,IAH,BNA,1906,1929,23,108,124,81,657,2133,39,0,0,null,37,0,2,0,0
2015,1,1,4,DL,2303,JFK,PDX,1910,1906,-4,384,414,346,2454,2300,26,0,0,null,26,0,0,0,0
2015,1,1,4,EV,2518,DFW,BTR,1915,2045,90,75,76,52,383,2201,91,0,0,null,1,0,79,11,0
2015,1,1,4,OO,2590,SAN,LAX,1930,2053,83,50,44,24,109,2137,77,0,0,null,0,0,0,77,0
2015,1,1,4,OO,2641,ORD,ICT,1930,2033,63,120,116,98,588,2229,59,0,0,null,0,0,59,0,0
2015,1,1,4,F9,408,LAX,DEN,1933,1942,9,133,142,124,862,2304,18,0,0,null,16,0,0,2,0
2015,1,1,4,WN,1859,DEN,STL,1935,2024,49,115,121,92,770,2325,55,0,0,null,6,0,9,40,0
2015,1,1,4,MQ,2785,DSM,ORD,1935,1943,8,80,97,51,299,2120,25,0,0,null,17,0,0,8,0
2015,1,1,4,OO,6467,BZN,DEN,1940,2232,172,103,94,76,524,6,163,0,0,null,0,0,0,163,0
2015,1,1,4,AA,1167,AUS,LAX,1945,2013,28,205,202,161,1242,2135,25,0,0,null,0,0,3,22,0
2015,1,1,4,MQ,3186,CVG,DFW,1950,2032,42,160,180,155,812,2232,62,0,0,null,20,0,0,42,0
2015,1,1,4,WN,793,STL,BOS,1955,2042,47,150,131,112,1047,2353,28,0,0,null,0,0,20,8,0
2015,1,1,4,WN,684,SAN,SJC,2010,2037,27,80,87,64,417,2204,34,0,0,null,7,0,0,27,0
2015,1,1,4,AA,1689,MIA,MSP,2015,2124,69,236,239,206,1501,23,72,0,0,null,3,0,69,0,0
2015,1,1,4,MQ,3358,DFW,GSO,2015,2121,66,143,144,119,999,45,67,0,0,null,1,0,11,55,0
2015,1,1,4,WN,125,BWI,JAX,2020,2055,35,125,127,102,663,2302,37,0,0,null,2,0,35,0,0
2015,1,1,4,AA,1134,DFW,MIA,2035,2056,21,156,157,135,1121,33,22,0,0,null,1,0,0,16,5
2015,1,1,4,MQ,2873,ORD,CMI,2035,2118,43,48,43,25,135,2201,38,0,0,null,0,0,0,38,0
2015,1,1,4,EV,4703,IAH,BRO,2105,2104,-1,74,90,62,308,2234,15,0,0,null,15,0,0,0,0
2015,1,1,4,MQ,2770,ORD,FNT,2125,2158,33,63,61,38,223,2359,31,0,0,null,0,0,31,0,0
2015,1,1,4,UA,1228,SAN,EWR,2134,2255,81,303,271,253,2425,626,49,0,0,null,2,0,0,47,0
2015,1,1,4,WN,1027,DEN,LAS,2150,2241,51,110,109,82,628,2330,50,0,0,null,0,0,4,46,0
2015,1,1,4,OO,5515,DEN,MSO,2156,2219,23,132,144,93,679,43,35,0,0,null,12,0,0,23,0
2015,1,1,4,AA,2427,DFW,ONT,2205,8,123,185,183,162,1188,111,121,0,0,null,0,0,47,74,0
2015,1,1,4,UA,1180,DEN,ORD,2206,2315,69,140,142,104,888,237,71,0,0,null,2,0,58,11,0
2015,1,1,4,OO,6355,DEN,FSD,2207,2257,50,90,130,75,483,207,90,0,0,null,40,0,12,38,0
2015,1,1,4,AA,1093,DFW,SEA,2220,2316,56,255,242,222,1660,118,43,0,0,null,0,0,43,0,0
2015,1,1,4,UA,1127,SFO,EWR,2239,2247,8,309,321,276,2565,708,20,0,0,null,20,0,0,0,0
2015,1,1,4,B6,1816,JFK,SYR,2245,2317,32,68,60,45,209,17,24,0,0,null,0,0,7,17,0
2015,1,1,4,B6,8,LAS,FLL,2249,2249,0,257,277,250,2173,626,20,0,0,null,20,0,0,0,0
2015,1,1,4,US,2026,PHX,PHL,2350,17,27,250,252,216,2075,629,29,0,0,null,29,0,0,0,0
2015,1,2,5,NK,214,LAS,DFW,103,115,12,147,153,131,1055,548,18,0,0,null,18,0,0,0,0
2015,1,2,5,AA,89,IAH,MIA,520,514,-6,141,205,113,964,939,58,0,0,null,58,0,0,0,0
2015,1,2,5,MQ,3189,CID,DFW,600,557,-3,140,164,118,685,841,21,0,0,null,21,0,0,0,0
2015,1,2,5,WN,1828,BHM,HOU,610,643,33,120,113,102,570,836,26,0,0,null,0,0,26,0,0
2015,1,2,5,AA,269,SJC,DFW,620,628,8,215,235,188,1438,1223,28,0,0,null,20,0,0,0,8
2015,1,2,5,US,595,ONT,PHX,630,635,5,74,94,56,325,909,25,0,0,null,20,0,5,0,0
2015,1,2,5,EV,4384,ELP,IAH,630,629,-1,117,140,94,667,949,22,0,0,null,22,0,0,0,0
2015,1,2,5,WN,3858,SEA,SJC,640,739,59,130,119,99,697,938,48,0,0,null,0,0,48,0,0
2015,1,2,5,NK,567,DTW,ATL,640,745,65,114,118,95,594,943,69,0,0,null,69,0,0,0,0
2015,1,2,5,AA,1318,BOS,DFW,650,650,0,280,295,266,1562,1045,15,0,0,null,15,0,0,0,0
2015,1,2,5,AA,1258,LAS,DFW,700,723,23,165,178,139,1055,1221,36,0,0,null,13,0,23,0,0
2015,1,2,5,MQ,3051,HPN,ORD,700,659,-1,175,211,141,738,930,35,0,0,null,35,0,0,0,0
2015,1,2,5,DL,568,SEA,JFK,705,1004,179,311,291,270,2422,1755,159,0,0,null,0,0,159,0,0
2015,1,2,5,US,692,CLT,PHX,730,730,0,282,298,255,1773,1028,16,0,0,null,16,0,0,0,0
2015,1,2,5,WN,4121,LAX,RNO,735,815,40,80,73,63,391,928,33,0,0,null,0,0,0,33,0
2015,1,2,5,UA,1425,MIA,DEN,747,844,57,273,257,235,1709,1101,41,0,0,null,0,0,41,0,0
2015,1,2,5,US,540,PHX,DFW,800,809,9,135,150,115,868,1139,24,0,0,null,15,0,0,0,9
2015,1,2,5,OO,6379,ORD,SAT,806,820,14,191,194,167,1041,1134,17,0,0,null,3,0,0,14,0
2015,1,2,5,OO,6360,DEN,MTJ,809,844,35,60,68,32,196,952,43,0,0,null,8,0,35,0,0
2015,1,2,5,US,466,BOS,CLT,810,809,-1,155,172,120,728,1101,16,0,0,null,16,0,0,0,0
2015,1,2,5,DL,611,LAX,HNL,830,834,4,358,369,338,2556,1243,15,0,0,null,15,0,0,0,0
2015,1,2,5,US,1831,PIT,CLT,840,921,41,99,81,63,366,1042,23,0,0,null,0,0,23,0,0
2015,1,2,5,OO,5392,SMF,SFO,843,854,11,57,73,33,86,1007,27,0,0,null,16,0,11,0,0
2015,1,2,5,OO,5349,ORD,DLH,845,957,72,94,88,66,397,1125,66,0,0,null,0,0,0,66,0
2015,1,2,5,WN,1063,OAK,PDX,855,929,34,100,98,81,543,1107,32,0,0,null,0,0,5,27,0
2015,1,2,5,DL,1765,ATL,EWR,855,950,55,130,126,95,746,1156,51,0,0,null,0,0,51,0,0
2015,1,2,5,UA,1090,EWR,IAH,900,933,33,246,241,215,1400,1234,28,0,0,null,0,0,28,0,0
2015,1,2,5,EV,4094,CRP,IAH,902,925,23,56,59,35,201,1024,26,0,0,null,3,0,0,23,0
2015,1,2,5,OO,6338,SAN,LAX,903,1144,161,49,57,28,109,1241,169,0,0,null,8,0,0,161,0
2015,1,2,5,UA,663,SFO,HNL,905,902,-3,324,345,319,2398,1247,18,0,0,null,18,0,0,0,0
2015,1,2,5,WN,4028,SAN,PHX,910,1029,79,70,83,54,304,1252,92,0,0,null,13,0,79,0,0
2015,1,2,5,EV,3937,MFE,IAH,912,931,19,71,72,48,316,1043,20,0,0,null,1,0,0,19,0
2015,1,2,5,UA,1725,SFO,OGG,915,931,16,320,327,307,2338,1258,23,0,0,null,7,0,16,0,0
2015,1,2,5,UA,297,LAX,LIH,920,1428,308,364,380,366,2615,1848,324,0,0,null,16,0,15,293,0
2015,1,2,5,DL,760,ATL,SMF,930,1015,45,321,296,276,2092,1211,20,0,0,null,0,0,20,0,0
2015,1,2,5,OO,6236,TUL,DEN,942,937,-5,113,136,90,541,1053,18,0,0,null,18,0,0,0,0
2015,1,2,5,B6,2169,BOS,FLL,943,945,2,211,224,187,1237,1329,15,0,0,null,13,0,2,0,0
2015,1,2,5,AA,1309,DFW,TUS,950,1007,17,145,168,124,813,1155,40,0,0,null,23,0,0,17,0
2015,1,2,5,UA,1721,SFO,KOA,959,957,-2,326,351,329,2367,1348,23,0,0,null,23,0,0,0,0
2015,1,2,5,EV,4351,DEN,XNA,1003,1025,22,105,106,87,616,1311,23,0,0,null,1,0,6,16,0
2015,1,2,5,UA,1164,EWR,FLL,1005,1033,28,186,181,157,1065,1334,23,0,0,null,0,0,17,6,0
2015,1,2,5,OO,4989,BZN,DEN,1018,1038,20,102,101,70,524,1219,19,0,0,null,0,0,0,19,0
2015,1,2,5,MQ,2799,ACT,DFW,1020,1045,25,45,41,24,89,1126,21,0,0,null,0,0,0,21,0
2015,1,2,5,WN,12,DAL,ICT,1025,1047,22,65,62,50,333,1149,19,0,0,null,0,0,19,0,0
2015,1,2,5,DL,1968,LAX,MSP,1030,1117,47,216,231,199,1535,1708,62,0,0,null,15,0,0,47,0
2015,1,2,5,UA,1224,LAX,HNL,1040,1051,11,347,359,329,2556,1450,23,0,0,null,12,0,11,0,0
2015,1,2,5,OO,6321,LAX,SAN,1040,1125,45,55,45,30,109,1210,35,0,0,null,0,0,29,6,0
2015,1,2,5,MQ,3184,GRK,DFW,1045,1115,30,55,46,27,134,1201,21,0,0,null,0,0,0,21,0
2015,1,2,5,MQ,3364,BHM,DFW,1045,1149,64,130,139,110,597,1408,73,0,0,null,9,0,8,48,8
2015,1,2,5,B6,597,BOS,SEA,1046,1049,3,381,405,380,2496,1434,27,0,0,null,24,0,3,0,0
2015,1,2,5,AA,1693,ORD,MCO,1050,1100,10,150,155,135,1005,1435,15,0,0,null,5,0,5,5,0
2015,1,2,5,US,443,SLC,PHX,1055,1113,18,91,91,68,507,1244,18,0,0,null,0,0,12,6,0
2015,1,2,5,AA,2319,ORD,DFW,1100,1110,10,155,167,131,802,1357,22,0,0,null,12,0,10,0,0
2015,1,2,5,B6,224,LAX,JFK,1100,1147,47,318,309,288,2475,1956,38,0,0,null,0,0,38,0,0
2015,1,2,5,WN,1177,TUS,SAN,1105,1203,58,75,69,59,368,1212,52,0,0,null,0,0,52,0,0
2015,1,2,5,AA,1046,MCI,DFW,1105,1104,-1,105,129,86,460,1313,23,0,0,null,23,0,0,0,0
2015,1,2,5,F9,1069,ATL,ORD,1105,1140,35,120,130,91,606,1250,45,0,0,null,23,0,12,10,0
2015,1,2,5,OO,5554,DEN,SJC,1105,1144,39,163,155,126,948,1319,31,0,0,null,0,0,28,3,0
2015,1,2,5,MQ,3222,MSN,DFW,1110,1121,11,155,175,143,821,1416,31,0,0,null,20,0,0,11,0
2015,1,2,5,WN,2493,PDX,DEN,1115,1140,25,145,136,122,991,1456,16,0,0,null,0,0,16,0,0
2015,1,2,5,AA,1582,BOS,MIA,1115,1204,49,212,218,194,1258,1542,55,0,0,null,6,0,0,49,0
2015,1,2,5,WN,163,BUR,LAS,1125,1207,42,60,59,39,223,1306,41,0,0,null,0,0,0,41,0
2015,1,2,5,MQ,3393,TXK,DFW,1125,1215,50,60,66,49,181,1321,56,0,0,null,6,0,39,11,0
2015,1,2,5,OO,4766,LAX,SJC,1125,1256,91,81,69,49,308,1405,79,0,0,null,0,0,58,21,0
2015,1,2,5,WN,2793,SEA,ABQ,1130,1201,31,170,171,142,1180,1552,32,0,0,null,1,0,11,20,0
2015,1,2,5,DL,2175,LGA,RSW,1130,1225,55,204,176,160,1080,1521,27,0,0,null,0,0,27,0,0
2015,1,2,5,WN,1177,SAN,LAS,1150,1244,54,70,62,50,258,1346,46,0,0,null,0,0,2,44,0
2015,1,2,5,AA,314,ATL,DFW,1155,1221,26,150,146,124,731,1347,22,0,0,null,0,0,0,22,0
2015,1,2,5,OO,2632,MKE,ORD,1155,1243,48,50,56,24,67,1339,54,0,0,null,6,0,18,30,0
2015,1,2,5,AA,1278,DTW,DFW,1200,1244,44,180,181,158,986,1445,45,0,0,null,1,0,0,44,0
2015,1,2,5,AA,1462,DFW,MIA,1200,1225,25,161,156,137,1121,1601,20,0,0,null,0,0,20,0,0
2015,1,2,5,WN,1582,BWI,MCO,1210,1242,32,140,138,120,787,1500,30,0,0,null,0,0,9,21,0
2015,1,2,5,AA,1542,DFW,PHL,1210,1304,54,185,180,159,1303,1704,49,0,0,null,0,0,0,45,4
2015,1,2,5,MQ,3125,DFW,GRI,1220,1319,59,103,95,71,561,1454,51,0,0,null,0,0,24,27,0
2015,1,2,5,OO,6275,COS,LAX,1221,1349,88,153,140,110,833,1509,75,0,0,null,0,0,0,75,0
2015,1,2,5,NK,364,DFW,MSY,1223,1236,13,83,85,65,447,1401,15,0,0,null,15,0,0,0,0
2015,1,2,5,AA,2311,DFW,SEA,1230,1348,78,265,276,229,1660,1624,89,0,0,null,11,0,78,0,0
2015,1,2,5,OO,2575,ABQ,LAX,1235,1618,223,130,116,91,677,1714,209,0,0,null,0,0,0,209,0
2015,1,2,5,DL,1942,ATL,EWR,1238,1313,35,130,113,99,746,1506,18,0,0,null,0,0,0,18,0
2015,1,2,5,US,498,ONT,PHX,1240,1237,-3,70,88,55,325,1505,15,0,0,null,15,0,0,0,0
2015,1,2,5,WN,4036,SJC,LAX,1240,1335,55,75,68,51,308,1443,48,0,0,null,0,0,6,42,0
